"","SEXORNT","REALINC","CONINC","CONRINC","BALLOT","WRKSTAT","HRS1","HRS2","WRKSLF","OCC10","INDUS10","MARITAL","DIVORCE","WIDOWED","SPWRKSLF","SPPRES80","SPOCC10","SPIND10","PAWRKSLF","PAOCC10","PAIND10","MAWRKSLF","MAOCC10","MAIND10","SIBS","CHILDS","AGE","AGEKDBRN","EDUC","PAEDUC","MAEDUC","SPEDUC","DEGREE","PADEG","MADEG","SPDEG","DIPGED","SEX","RACE","RES16","REG16","FAMILY16","FAMDIF16","INCOM16","INCOME","REGION","PARTYID","NATEDUC","NATEDUCY","ATTEND","RELIG16","HAPPY","HAPMAR","HAPCOHAB","HEALTH","LIFE","CONEDUC","SOCREL","SOCOMMUN","SOCFREND","SOCBAR","WEEKSWRK","JOBLOSE","JOBFIND","SATJOB","SATFIN","ABNOMORE","ABHLTH","ABPOOR","ABANY","PILLOK","SEXEDUC","FECHLD","COMPUSE","YEARSJOB","MNTLHLTH","INTEDUC","SPSCHOOL","OPPARED","OPEDUC","OPSEX","TOPPROB1","TOPPROB2","MASEI10","PASEI10","SEI10","SPSEI10","INCOME16","HLTHSTRT","COSEI10","ID_","YEAR"
"3447",-100,8691.25,13451.25,7121.25,2,7,-100,-100,2,4720,4970,4,-100,2,-100,-70,-100,-100,2,160,6390,2,430,9370,2,4,33,20,13,3,12,-100,1,0,1,-100,3,2,1,3,6,1,-100,3,11,6,4,1,-100,3,1,3,-100,-100,3,-100,2,6,7,4,7,24,-100,-100,4,3,-100,-100,-100,-100,1,1,4,1,-100,-100,-70,-70,-70,-70,-70,-70,-70,67.7,52.5,21.6,-100,13,-100,-100,3448,2022
"3448",3,13292.5,20572.5,-100,2,7,-100,-100,2,4760,5370,1,2,2,2,-70,1550,3380,2,7210,8770,-100,-100,-100,3,3,28,18,12,12,12,12,1,1,1,1,1,2,1,1,6,1,-100,3,12,6,5,-100,1,6,1,2,2,-100,2,-100,2,1,7,7,7,0,-100,-100,1,3,-100,-100,-100,-100,3,1,4,2,-100,-100,-70,-70,-70,-70,-70,-70,-70,-100,35.3,39.7,57.4,16,-100,-100,3449,2022
"3449",3,13292.5,20572.5,20572.5,3,1,46,-100,2,9130,770,5,-100,-100,-100,-70,-100,-100,2,7700,1180,2,8320,1670,4,0,51,-100,12,-98,12,-100,1,-98,1,-100,1,1,1,1,6,1,-100,1,12,6,6,-100,1,2,1,2,-100,-100,3,2,3,-100,-100,-100,-100,52,-100,-100,1,2,2,2,2,2,-100,-100,-100,-100,5,0,-70,-70,-70,-70,-70,-70,-70,13.2,46.5,32,-100,16,4,-100,3450,2022
"3450",3,6646.25,10286.25,-100,3,5,-100,-100,-100,-100,-100,5,-100,-100,-100,-70,-100,-100,-100,-100,-100,2,7810,1180,6,0,33,-100,10,-100,11,-100,0,-100,0,-100,-100,1,1,3,6,5,2,1,10,6,4,3,-100,4,1,3,-100,-100,4,3,2,-100,-100,-100,-100,0,-100,-100,-100,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-70,-70,-70,-70,-70,-70,18.8,-100,-100,-100,11,-100,-100,3451,2022
"3451",3,49080,75960,28485,3,1,0,-100,2,3245,7860,1,2,2,2,-70,3255,8190,2,7010,8190,2,5120,770,1,2,33,30,19,12,12,18,4,1,1,3,1,2,1,2,6,1,-100,2,12,6,6,1,-100,3,1,2,2,-100,3,2,2,-100,-100,-100,-100,52,-100,-100,2,2,-100,-100,-100,-100,-100,-100,-100,-100,1,8,-70,-70,-70,-70,-70,-70,-70,38.3,51.8,71.4,84.2,23,-100,-100,3452,2022
"3452",-100,3681,5697,5697,1,7,-100,-100,2,7810,1180,1,2,2,2,-70,4250,7770,1,6260,770,1,4230,7690,6,0,34,-100,13,3,3,2,1,0,0,0,1,2,3,4,0,1,-100,2,8,6,3,-100,2,5,2,1,1,-100,3,2,-100,4,7,6,7,52,-100,-100,4,2,2,1,2,2,3,1,2,2,-100,-100,-70,-70,-70,-70,-70,-70,-70,12.6,25.2,18.8,18.6,8,2,-100,3453,2022
"3453",3,33742.5,52222.5,5697,3,1,25,-100,2,9120,7860,1,2,2,2,-70,2540,7860,-100,-100,-100,2,5160,6870,2,2,49,31,12,-100,12,18,1,-100,1,4,1,1,1,3,6,5,-100,3,12,6,5,-100,1,8,1,1,1,-100,1,2,2,-100,-100,-100,-100,52,-100,-100,2,1,2,2,2,2,-100,-100,-100,-100,5,0,-70,-70,-70,-70,-70,-70,-70,20.8,-100,31.6,26.1,21,1,-100,3454,2022
"3454",3,9713.75,15033.75,10286.25,3,4,-100,-100,2,9620,1180,5,-100,-100,-100,-70,-100,-100,2,7800,1180,2,-99,4670,1,0,31,-100,10,9,-98,-100,0,0,-98,-100,-100,1,1,3,6,1,-100,3,11,6,5,2,-100,1,1,2,-100,-100,1,1,3,-100,-100,-100,-100,40,-100,-100,2,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-70,-70,-70,-70,-70,-70,-100,19.7,23.3,-100,14,-100,-100,3455,2022
"3455",-100,18405,28485,20572.5,2,1,40,-100,2,3255,8190,1,2,2,2,-70,-99,-99,2,5000,8380,2,2200,7870,2,3,40,30,18,16,18,16,3,3,4,3,1,2,1,3,6,1,-100,3,12,6,5,3,-100,5,1,2,2,-100,2,-100,3,4,7,6,7,52,4,1,2,3,-100,-100,-100,-100,4,2,2,1,10,0,-70,-70,-70,-70,-70,-70,-70,84.5,52,84.2,-100,18,-100,-100,3456,2022
"3456",-100,27607.5,42727.5,42727.5,1,1,55,-100,2,3500,8190,3,-100,2,-100,-70,-100,-100,2,2310,7860,2,2320,7860,1,3,33,21,14,18,18,-100,2,4,4,-100,1,2,1,2,6,1,-100,3,12,6,5,1,-100,7,1,2,-100,-100,2,1,-100,3,5,5,7,46,4,1,1,2,-100,-100,-100,-100,1,1,1,1,6,10,-70,-70,-70,-70,-70,-70,-70,82.5,80.9,46.6,-100,20,-100,-100,3457,2022
